IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
000126-01012019,01 Jan 2019,2019,00:36:43,0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,On motorway / elevated road,W12 7AN,W12,34020711,21000877,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,522976,181017,522950,181050,51.5147071055,-0.2291180257,London,Acton,4,Stanmore,,,1,1,1,2,666,1
000272-01012019,01 Jan 2019,2019,02:10:06,2,False Alarm,AFA,,Other Residential,Youth hostel ,Within same building,SW6 4TQ,SW6,10091845203,21000628,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013739,Fulham Town,Fulham Town,525040,176569,525050,176550,51.4742751,-0.200969,London,Fulham,180,Fulham,329,Chelsea,2,2,2,1,333,1
000426-01012019,01 Jan 2019,2019,11:35:32,11,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W14,0,21000846,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013751,West Kensington,West Kensington,,,524550,177950,,,London,Hammersmith,336,Hammersmith,380,Kensington,2,2,2,1,333,1
000477-01012019,01 Jan 2019,2019,15:01:33,15,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W12,0,21000901,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013736,College Park & Old Oak,College Park & Old Oak,,,521750,181450,,,London,Acton,382,Acton,489,Park Royal,2,2,2,1,333,1
000604-01012019,01 Jan 2019,2019,20:01:21,20,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W6,0,21000032,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,523050,179050,,,London,Hammersmith,305,Hammersmith,,,1,1,1,1,333,1
000615-01012019,01 Jan 2019,2019,20:35:17,20,Special Service,Special Service,Lift Release,Non Residential,Train station - elsewhere ,Within same building,W12 8ND,W12,34151978,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523799,179968,523750,179950,51.5050956,-0.2176376,London,Hammersmith,,,,,1,1,1,1,333,1
000623-01012019,01 Jan 2019,2019,20:56:20,20,Special Service,Special Service,Advice Only,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W6,0,21000032,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013740,Grove,Grove,,,523050,179050,,,London,Hammersmith,232,Hammersmith,,,1,1,1,1,333,1
000720-02012019,02 Jan 2019,2019,04:12:38,4,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street close to gazetteer location,W6 0HT,W6,34005043,21001164,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,522565,178928,522550,178950,51.4960191085,-0.2357615241,London,Hammersmith,316,Hammersmith,,,1,1,1,1,333,2
000756-02012019,02 Jan 2019,2019,08:53:10,8,Special Service,Special Service,Lift Release,Non Residential,Train station - elsewhere ,Within same building,W12 8ND,W12,34151978,21000835,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,Shepherd's Bush Green,Shepherd's Bush Green,523799,179968,523750,179950,51.5050956,-0.2176376,London,Hammersmith,,,,,1,1,1,1,333,1
000776-02012019,02 Jan 2019,2019,10:00:33,10,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,W6,0,21000478,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013746,Ravenscourt,Ravenscourt,,,522250,178650,,,London,Hammersmith,241,Chiswick,347,Hammersmith,2,2,2,1,333,1
